,NC,n_metal,n_dope,n_ligand,ligands,q,E_q,E_q-1,E_q.1,EA,IP,HOMO,LUMO,GAP,path
0,Au18(S-c-hex)14,18,0,14,CYCLOHEX,0,-35674.11,-35675.93,-35668.73,-1.81,5.39,-4.31,-2.87,1.44,fully_protected\au18_schex14_opt.xyz
1,Au20(TBBT)16,20,0,16,TBBT,0,-50670.02,-50671.99,-50664.7,-1.97,5.32,-4.48,-2.86,1.62,fully_protected\au20_tbbt16_opt.xyz
2,Au21(SAdm)15,21,0,15,SAdm,0,-50034.64,-50036.25,-50029.8,-1.61,4.84,-3.91,-2.55,1.35,fully_protected\au21_sadm15_opt.xyz
3,Au22(SAdm)16,22,0,16,SAdm,0,-53008.45,-53010.18,-53003.47,-1.73,4.98,-4.07,-2.67,1.4,fully_protected\au22_sadm16_opt.xyz
4,[Au23(S-c-hex)16]-1,23,0,16,CYCLOHEX,-1,-42969.81,-42969.42,-42966.57,0.39,3.24,-2.29,-0.56,1.73,fully_protected\au23_schex16_-1_opt.xyz
5,Au24(SAdm)16,24,0,16,SAdm,0,-54817.34,-54819.12,-54812.38,-1.78,4.96,-4.08,-2.71,1.37,fully_protected\au24_sadm16_opt.xyz
6,[Au25(PET)18]-1,25,0,18,PET,-1,-52528.05,-52528.14,-52524.99,-0.09,3.07,-2.16,-0.96,1.2,fully_protected\au25_pet18_-1_opt.xyz
7,Au25(PET)18,25,0,18,PET,0,-52525.02,-52527.96,-52520.08,-2.94,4.95,-3.94,-2.92,1.02,fully_protected\au25_pet18_opt.xyz
8,Au28(S-c-hex)20,28,0,20,CYCLOHEX,0,-53030.99,-53033.04,-53025.68,-2.06,5.31,-4.46,-2.95,1.51,fully_protected\au28_schex20_opt.xyz
9,Au28(TBBT)20,28,0,20,TBBT,0,-66051.26,-66053.61,-66046.01,-2.35,5.25,-4.52,-3.16,1.36,fully_protected\au28_tbbt20_opt.xyz
10,Au30(SAdm)18,30,0,18,SAdm,0,-64383.24,-64385.28,-64378.52,-2.04,4.72,-3.92,-2.89,1.03,fully_protected\au30_sadm18_opt.xyz
11,Au34(S-c-hex)22,34,0,22,CYCLOHEX,0,-61228.54,-61230.53,-61223.43,-1.99,5.11,-4.29,-2.83,1.46,fully_protected\au34_schex22_opt.xyz
12,Au36(TBBT)24,36,0,24,TBBT,0,-81432.42,-81434.66,-81427.35,-2.25,5.07,-4.42,-2.93,1.49,fully_protected\au36_tbbt24_opt.xyz
13,Au40(o-MBT)24,40,0,24,o-MBT,0,-71570.94,-71573.53,-71565.68,-2.6,5.26,-4.54,-3.32,1.22,fully_protected\au40_ombt24_opt.xyz
14,Au42(S-c-hex)26,42,0,26,CYCLOHEX,0,-74004.17,-74006.31,-73999.26,-2.14,4.9,-4.14,-2.9,1.24,fully_protected\au42_schex26_opt.xyz
15,Au44(TBBT)26,44,0,26,TBBT,0,-92741.07,-92743.66,-92736.52,-2.59,4.54,-3.89,-3.24,0.65,fully_protected\au44_tbbt26_opt.xyz
16,Au44(TBBT)28,44,0,28,TBBT,0,-96813.22,-96815.67,-96808.28,-2.46,4.94,-4.34,-3.1,1.24,fully_protected\au44_tbbt28_opt.xyz
17,Au48(TBBT)28,48,0,28,TBBT,0,-100431.6,-100434.16,-100427.05,-2.57,4.54,-3.92,-3.2,0.72,fully_protected\au48_tbbt28_opt.xyz
18,Au52(PET)32,52,0,32,PET,0,-100212.52,-100214.98,-100207.39,-2.46,5.13,-4.46,-3.12,1.34,fully_protected\au52_pet32_opt.xyz
19,Au52(TBBT)32,52,0,32,TBBT,0,-112194.64,-112197.03,-112189.69,-2.39,4.95,-4.32,-3.07,1.26,fully_protected\au52_tbbt32_opt.xyz
20,Au92(TBBT)44,92,0,44,TBBT,0,-172811.12,-172814.13,-172806.74,-3.01,4.38,-3.698141,-3.039822603,0.6583183971,fully_protected\au92_tbbt44_opt.xyz
21,Au102(MBA)44,102,0,44,p-MBA,0,-194093.73,-194098.41,-194087.02,-4.68,6.71,-5.95,-5.46,0.49,fully_protected\au102_mba44_opt.xyz
22,Au133(TBBT)52,133,0,52,TBBT,0,-226191.05,-226194.11,-226186.83,-3.06,4.22,-3.640243,-2.998088503,0.642154497,fully_protected\au133_tbbt52_opt.xyz
23,Au38(PET)24Q,38,0,24,PET,0,-74257.01,-74259.43,-74252.06,-2.42,4.94,-4.12,-3.23,0.89,fully_protected\au38_pet24q_opt.xyz
24,Au18(sch3)14,18,0,14,sch3,0,-845.9919628493,none,none,none,none,none,none,none,sch3_protected/018_14_cp2k_opt.xyz
